epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,12609.9,0.85483,1.5971,1.07325,1.1483,0,0.7298,0.40188,0.43104,0.29378,0.72266,0.39099,0.39698,0.26014,1.11995,2.10604,1.37922,1.29821,0,0.0004654,0.0004654,0.0004654
29,12995.1,0.83149,1.54514,1.05648,1.13842,0,0.7869,0.36715,0.41333,0.27743,0.78742,0.37217,0.40048,0.26333,1.11753,2.11021,1.38852,1.28503,0,0.0004456,0.0004456,0.0004456
30,13374.3,0.84306,1.55752,1.04342,1.13463,0,0.73483,0.41281,0.42592,0.29375,0.73407,0.42518,0.426,0.27819,1.08689,2.0404,1.35073,1.27954,0,0.0004258,0.0004258,0.0004258
31,14366.8,0.80859,1.49037,1.02302,1.12895,0,0.79248,0.39552,0.42106,0.28057,0.79426,0.40237,0.41822,0.26214,1.13284,2.02446,1.38823,1.28845,0,0.000406,0.000406,0.000406
32,14592.5,0.79655,1.51351,0.98351,1.11104,0,0.77423,0.43615,0.45646,0.31976,0.78853,0.42353,0.48761,0.30016,1.05101,1.97936,1.2557,1.23362,0,0.0003862,0.0003862,0.0003862
33,14830.2,0.79757,1.47253,0.97674,1.11271,0,0.70299,0.37404,0.37865,0.26673,0.71476,0.38991,0.38452,0.24477,1.06614,2.09874,1.35255,1.26975,0,0.0003664,0.0003664,0.0003664
34,15070.7,0.80544,1.46028,0.97628,1.11135,0,0.79385,0.39211,0.44801,0.29253,0.7766,0.37631,0.4193,0.27018,1.08515,2.03737,1.31201,1.27865,0,0.0003466,0.0003466,0.0003466
35,15364.6,0.77665,1.43621,0.95161,1.09519,0,0.79605,0.37107,0.42453,0.29812,0.80463,0.37849,0.42586,0.2779,1.06837,2.05274,1.29586,1.23501,0,0.0003268,0.0003268,0.0003268
36,15670.6,0.7603,1.40078,0.91447,1.08421,0,0.80515,0.3996,0.4605,0.30223,0.79787,0.39177,0.43347,0.28873,1.08964,2.04949,1.29044,1.27059,0,0.000307,0.000307,0.000307
37,15980.2,0.77942,1.42539,0.94648,1.10469,0,0.73562,0.42006,0.44715,0.30563,0.73636,0.43162,0.45235,0.28893,1.07091,2.0791,1.28675,1.24858,0,0.0002872,0.0002872,0.0002872
38,16286.3,0.7598,1.37967,0.90012,1.08338,0,0.82343,0.37085,0.45639,0.32071,0.56897,0.63257,0.52126,0.29909,1.0329,2.01111,1.23842,1.21221,0,0.0002674,0.0002674,0.0002674
39,16590.2,0.76093,1.40921,0.92318,1.09339,0,0.61976,0.36417,0.45052,0.30931,0.63988,0.36053,0.44932,0.28924,1.03959,2.06032,1.2962,1.22158,0,0.0002476,0.0002476,0.0002476
40,16892.7,0.76034,1.40168,0.88594,1.09082,0,0.54315,0.38047,0.43205,0.2898,0.71615,0.53184,0.54851,0.29087,1.04295,2.02715,1.27761,1.22861,0,0.0002278,0.0002278,0.0002278
41,17199.4,0.80783,1.48939,1.10004,1.14653,0,0.60279,0.4055,0.43804,0.29065,0.61278,0.37515,0.42863,0.27394,1.08023,2.11922,1.3806,1.26325,0,0.000208,0.000208,0.000208
42,17501.4,0.7507,1.3178,0.95361,1.10342,0,0.53922,0.58779,0.41963,0.28207,0.79305,0.46444,0.56372,0.28106,1.07585,2.07601,1.28049,1.27047,0,0.0001882,0.0001882,0.0001882
43,17800.2,0.71073,1.29491,0.87228,1.08033,0,0.63298,0.34889,0.42187,0.28623,0.64903,0.3592,0.42668,0.27719,1.04529,2.02904,1.26731,1.22908,0,0.0001684,0.0001684,0.0001684
44,18101,0.7117,1.24282,0.85935,1.0829,0,0.56501,0.55833,0.45479,0.30731,0.62468,0.39566,0.4482,0.28997,1.06092,2.10507,1.21782,1.24051,0,0.0001486,0.0001486,0.0001486
45,18400.1,0.69205,1.27283,0.84113,1.06669,0,0.56154,0.60814,0.43459,0.29709,0.56514,0.6133,0.4337,0.28551,1.05568,2.11045,1.22949,1.25978,0,0.0001288,0.0001288,0.0001288
46,18733.9,0.66411,1.19656,0.80569,1.0424,0,0.62022,0.42104,0.45852,0.30672,0.59968,0.42102,0.44644,0.29816,1.05516,2.09668,1.20835,1.25196,0,0.000109,0.000109,0.000109
47,19102.9,0.66219,1.20222,0.79427,1.05016,0,0.6692,0.37819,0.45615,0.31319,0.6751,0.3686,0.44658,0.29655,1.04102,2.11861,1.18753,1.23899,0,8.92e-05,8.92e-05,8.92e-05
48,19361,0.64842,1.19582,0.75242,1.0383,0,0.65762,0.38587,0.45878,0.31523,0.64899,0.38755,0.45696,0.2979,1.03676,2.11781,1.19488,1.23366,0,6.94e-05,6.94e-05,6.94e-05
49,19598.1,0.65975,1.20961,0.79282,1.04894,0,0.62552,0.39433,0.44413,0.30125,0.62422,0.39525,0.43774,0.28744,1.02515,2.1307,1.20254,1.2247,0,4.96e-05,4.96e-05,4.96e-05
50,19866.4,0.64331,1.18079,0.75627,1.04431,0,0.70443,0.35431,0.44394,0.30434,0.70813,0.35749,0.43946,0.28998,1.02917,2.12275,1.21035,1.23468,0,2.98e-05,2.98e-05,2.98e-05
